TimePeriod,GeoType,GeoID,GeoRank,Geography,Estimated annual number,Estimated annual number (under age 18),"Estimated annual rate (age 18+) per 100,000 adults","Estimated annual rate (under age 18) per 100,000 children",IndicatorID,ResultID,Result
2017-2019,UHF42,101,4,Kingsbridge - Riverdale,19,12,24,66,386,2,Asthma
2017-2019,UHF42,102,4,Northeast Bronx,93,54,55,116,386,2,Asthma
2017-2019,UHF42,103,4,Fordham - Bronx Pk,148,107,71,150,386,2,Asthma
2017-2019,UHF42,104,4,Pelham - Throgs Neck,122,80,50,111,386,2,Asthma
2017-2019,UHF42,105,4,Crotona -Tremont,156,98,95,157,386,2,Asthma
2017-2019,UHF42,106,4,High Bridge - Morrisania,182,111,110,181,386,2,Asthma
2017-2019,UHF42,107,4,Hunts Point - Mott Haven,123,78,116,192,386,2,Asthma
2017-2019,UHF42,201,4,Greenpoint,17,6,20,29,386,2,Asthma
2017-2019,UHF42,202,4,Downtown - Heights - Slope,68,28,31,55,386,2,Asthma
2017-2019,UHF42,203,4,Bedford Stuyvesant - Crown Heights,215,106,78,144,386,2,Asthma
2017-2019,UHF42,204,4,East New York,129,70,86,136,386,2,Asthma
2017-2019,UHF42,205,4,Sunset Park,24,13,25,44,386,2,Asthma
2017-2019,UHF42,206,4,Borough Park,32,20,13,20,386,2,Asthma
2017-2019,UHF42,207,4,East Flatbush - Flatbush,128,65,52,101,386,2,Asthma
2017-2019,UHF42,208,4,Canarsie - Flatlands,67,35,39,76,386,2,Asthma
2017-2019,UHF42,209,4,Bensonhurst - Bay Ridge,19,9,11,20,386,2,Asthma
2017-2019,UHF42,210,4,Coney Island - Sheepshead Bay,63,26,26,41,386,2,Asthma
2017-2019,UHF42,211,4,Williamsburg - Bushwick,123,65,71,118,386,2,Asthma
2017-2019,UHF42,301,4,Washington Heights,78,40,34,82,386,2,Asthma
2017-2019,UHF42,302,4,Central Harlem - Morningside Heights,163,65,105,181,386,2,Asthma
2017-2019,UHF42,303,4,East Harlem,119,50,127,214,386,2,Asthma
2017-2019,UHF42,304,4,Upper West Side,50,17,26,51,386,2,Asthma
2017-2019,UHF42,305,4,Upper East Side,16,7,8,21,386,2,Asthma
2017-2019,UHF42,306,4,Chelsea - Clinton,36,9,23,64,386,2,Asthma
2017-2019,UHF42,307,4,Gramercy Park - Murray Hill,21,5,16,46,386,2,Asthma
2017-2019,UHF42,308,4,Greenwich Village - SoHo,5,2,7,18,386,2,Asthma
2017-2019,UHF42,309,4,Union Square - Lower East Side,61,24,35,105,386,2,Asthma
2017-2019,UHF42,310,4,Lower Manhattan,14,4,23,40,386,2,Asthma
2017-2019,UHF42,401,4,Long Island City - Astoria,41,18,23,56,386,2,Asthma
2017-2019,UHF42,402,4,West Queens,70,71,19,73,386,2,Asthma
2017-2019,UHF42,403,4,Flushing - Clearview,21,18,10,39,386,2,Asthma
2017-2019,UHF42,404,4,Bayside - Little Neck,3,3,4,18,386,2,Asthma
2017-2019,UHF42,405,4,Ridgewood - Forest Hills,30,18,13,35,386,2,Asthma
2017-2019,UHF42,406,4,Fresh Meadows,14,13,17,57,386,2,Asthma
2017-2019,UHF42,407,4,Southwest Queens,57,36,25,54,386,2,Asthma
2017-2019,UHF42,408,4,Jamaica,105,64,40,93,386,2,Asthma
2017-2019,UHF42,409,4,Southeast Queens,34,24,19,55,386,2,Asthma
2017-2019,UHF42,410,4,Rockaways,53,23,52,68,386,2,Asthma
2017-2019,UHF42,501,4,Port Richmond,35,16,64,84,386,2,Asthma
2017-2019,UHF42,502,4,Stapleton - St. George,46,20,45,73,386,2,Asthma
2017-2019,UHF42,503,4,Willowbrook,14,4,19,22,386,2,Asthma
2017-2019,UHF42,504,4,South Beach - Tottenville,16,7,10,15,386,2,Asthma
2017-2019,Borough,1,1,Bronx,844,0,74,145,386,2,Asthma
2017-2019,Borough,2,1,Brooklyn,883,0,43,74,386,2,Asthma
2017-2019,Borough,3,1,Manhattan,564,0,39,92,386,2,Asthma
2017-2019,Borough,4,1,Queens,427,0,22,60,386,2,Asthma
2017-2019,Borough,5,1,Staten Island,111,0,28,43,386,2,Asthma
2017-2019,Borough,,1,,0,223,0,74,386,2,Asthma
2017-2019,Citywide,1,0,New York City,"2,829.00","1,540.00",41,85,386,2,Asthma
2015-2017,UHF42,101,4,Kingsbridge - Riverdale,27.6,14.3,36.2,79.5,386,2,Asthma
2015-2017,UHF42,102,4,Northeast Bronx,108.2,63.5,66.9,143,386,2,Asthma
2015-2017,UHF42,103,4,Fordham - Bronx Pk,168.4,127.8,85.5,187.8,386,2,Asthma
2015-2017,UHF42,104,4,Pelham - Throgs Neck,144.8,95.3,60.2,131.3,386,2,Asthma
2015-2017,UHF42,105,4,Crotona -Tremont,176.8,123.4,112,199.6,386,2,Asthma
2015-2017,UHF42,106,4,High Bridge - Morrisania,200.3,134.5,124.9,220.8,386,2,Asthma
2015-2017,UHF42,107,4,Hunts Point - Mott Haven,136.7,91.9,130.1,225,386,2,Asthma
2015-2017,UHF42,201,4,Greenpoint,29.7,11.1,27.6,36.5,386,2,Asthma
2015-2017,UHF42,202,4,Downtown - Heights - Slope,72,29.7,34.3,62.6,386,2,Asthma
2015-2017,UHF42,203,4,Bedford Stuyvesant - Crown Heights,261.3,128.1,100.2,173.9,386,2,Asthma
2015-2017,UHF42,204,4,East New York,149.7,82.1,107.8,163.6,386,2,Asthma
2015-2017,UHF42,205,4,Sunset Park,27.5,14.6,26.9,47.4,386,2,Asthma
2015-2017,UHF42,206,4,Borough Park,34.9,23.1,14.2,22.5,386,2,Asthma
2015-2017,UHF42,207,4,East Flatbush - Flatbush,151.8,78.1,62.8,119.3,386,2,Asthma
2015-2017,UHF42,208,4,Canarsie - Flatlands,79.6,40.3,48.5,88.9,386,2,Asthma
2015-2017,UHF42,209,4,Bensonhurst - Bay Ridge,21.7,11,12.8,25.9,386,2,Asthma
2015-2017,UHF42,210,4,Coney Island - Sheepshead Bay,64.7,27.3,27.7,46.2,386,2,Asthma
2015-2017,UHF42,211,4,Williamsburg - Bushwick,164.3,80.9,96.7,145.3,386,2,Asthma
2015-2017,UHF42,301,4,Washington Heights,96.3,50,42.6,99.8,386,2,Asthma
2015-2017,UHF42,302,4,Central Harlem - Morningside Heights,177.6,80,121.4,228.6,386,2,Asthma
2015-2017,UHF42,303,4,East Harlem,129.5,61.7,141.5,262.3,386,2,Asthma
2015-2017,UHF42,304,4,Upper West Side,57.8,19.5,30.6,60.6,386,2,Asthma
2015-2017,UHF42,305,4,Upper East Side,16.5,8,8.6,24.6,386,2,Asthma
2015-2017,UHF42,306,4,Chelsea - Clinton,39.8,8.6,27.3,67.9,386,2,Asthma
