TimePeriod,,GeoID,GeoRank,Geography,10th percentile mcg/m3,90th percentile mcg/m3,Mean,Indicator,IndicatorID
Annual Average 2022,,101,6,Financial District (CD1),6.7,7.8,7.2,PM 2.5,365
Annual Average 2022,,102,6,Greenwich Village and Soho (CD2),7.6,9.3,8.4,PM 2.5,365
Annual Average 2022,,103,6,Lower East Side and Chinatown (CD3),6.1,8.6,7.2,PM 2.5,365
Annual Average 2022,,104,6,Clinton and Chelsea (CD4),6.7,9,7.8,PM 2.5,365
Annual Average 2022,,105,6,Midtown (CD5),8.2,9.7,9.1,PM 2.5,365
Annual Average 2022,,106,6,Stuyvesant Town and Turtle Bay (CD6),6.7,8.5,7.5,PM 2.5,365
Annual Average 2022,,107,6,Upper West Side (CD7),5.9,6.3,6.1,PM 2.5,365
Annual Average 2022,,108,6,Upper East Side (CD8),6.1,6.8,6.4,PM 2.5,365
Annual Average 2022,,109,6,Morningside Heights and Hamilton Heights (CD9),6.1,6.4,6.2,PM 2.5,365
Annual Average 2022,,110,6,Central Harlem (CD10),6.1,6.4,6.2,PM 2.5,365
Annual Average 2022,,111,6,East Harlem (CD11),6,6.3,6.2,PM 2.5,365
Annual Average 2022,,112,6,Washington Heights and Inwood (CD12),6.1,6.6,6.3,PM 2.5,365
Annual Average 2022,,201,6,Mott Haven and Melrose (CD1),5.8,6.5,6.1,PM 2.5,365
Annual Average 2022,,202,6,Hunts Point and Longwood (CD2),6.3,6.8,6.5,PM 2.5,365
Annual Average 2022,,203,6,Morrisania and Crotona (CD3),6.2,6.4,6.3,PM 2.5,365
Annual Average 2022,,204,6,Highbridge and Concourse (CD4),5.8,6.3,6,PM 2.5,365
Annual Average 2022,,205,6,Fordham and University Heights (CD5),5.9,6.4,6.1,PM 2.5,365
Annual Average 2022,,206,6,Belmont and East Tremont (CD6),6.1,6.5,6.3,PM 2.5,365
Annual Average 2022,,207,6,Kingsbridge Heights and Bedford (CD7),6.1,6.3,6.2,PM 2.5,365
Annual Average 2022,,208,6,Riverdale and Fieldston (CD8),5.9,6.2,6,PM 2.5,365
Annual Average 2022,,209,6,Parkchester and Soundview (CD9),5.8,6.5,6.1,PM 2.5,365
Annual Average 2022,,210,6,Throgs Neck and Co-op City (CD10),5.7,6.4,6,PM 2.5,365
Annual Average 2022,,211,6,Morris Park and Bronxdale (CD11),5.9,6.4,6.1,PM 2.5,365
Annual Average 2022,,212,6,Williamsbridge and Baychester (CD12),5.9,6.2,6,PM 2.5,365
Annual Average 2022,,301,6,Greenpoint and Williamsburg (CD1),6.2,6.9,6.5,PM 2.5,365
Annual Average 2022,,302,6,Fort Greene and Brooklyn Heights (CD2),6,6.8,6.4,PM 2.5,365
Annual Average 2022,,303,6,Bedford Stuyvesant (CD3),5.8,6.6,6.1,PM 2.5,365
Annual Average 2022,,304,6,Bushwick (CD4),5.8,6.9,6.3,PM 2.5,365
Annual Average 2022,,305,6,East New York and Starrett City (CD5),5.3,6,5.7,PM 2.5,365
Annual Average 2022,,306,6,Park Slope and Carroll Gardens (CD6),5.9,6.8,6.4,PM 2.5,365
Annual Average 2022,,307,6,Sunset Park (CD7),5.6,6.8,6.2,PM 2.5,365
Annual Average 2022,,308,6,Crown Heights and Prospect Heights (CD8),5.8,6.5,6.1,PM 2.5,365
Annual Average 2022,,309,6,South Crown Heights and Lefferts Gardens (CD9),5.6,5.9,5.7,PM 2.5,365
Annual Average 2022,,310,6,Bay Ridge and Dyker Heights (CD10),5.4,6.1,5.7,PM 2.5,365
Annual Average 2022,,311,6,Bensonhurst (CD11),5.4,5.7,5.5,PM 2.5,365
Annual Average 2022,,312,6,Borough Park (CD12),5.6,5.8,5.7,PM 2.5,365
Annual Average 2022,,313,6,Coney Island (CD13),5.2,5.6,5.4,PM 2.5,365
Annual Average 2022,,314,6,Flatbush and Midwood (CD14),5.4,5.8,5.6,PM 2.5,365
Annual Average 2022,,315,6,Sheepshead Bay (CD15),5.2,5.6,5.4,PM 2.5,365
Annual Average 2022,,316,6,Brownsville (CD16),5.6,5.9,5.8,PM 2.5,365
Annual Average 2022,,317,6,East Flatbush (CD17),5.5,5.9,5.7,PM 2.5,365
Annual Average 2022,,318,6,Flatlands and Canarsie (CD18),5.1,5.7,5.3,PM 2.5,365
Annual Average 2022,,401,6,Long Island City and Astoria (CD1),5.5,6.7,6.2,PM 2.5,365
Annual Average 2022,,402,6,Woodside and Sunnyside (CD2),6.1,6.7,6.5,PM 2.5,365
Annual Average 2022,,403,6,Jackson Heights (CD3),5.7,6.5,6,PM 2.5,365
Annual Average 2022,,404,6,Elmhurst and Corona (CD4),5.8,6.6,6.1,PM 2.5,365
Annual Average 2022,,405,6,Ridgewood and Maspeth (CD5),5.4,6.5,5.9,PM 2.5,365
Annual Average 2022,,406,6,Rego Park and Forest Hills (CD6),5.5,5.8,5.7,PM 2.5,365
Annual Average 2022,,407,6,Flushing and Whitestone (CD7),5.5,6.5,5.9,PM 2.5,365
Annual Average 2022,,408,6,Hillcrest and Fresh Meadows (CD8),5.4,5.7,5.5,PM 2.5,365
Annual Average 2022,,409,6,Kew Gardens and Woodhaven (CD9),5.6,6,5.8,PM 2.5,365
Annual Average 2022,,410,6,South Ozone Park and Howard Beach (CD10),5.2,5.6,5.4,PM 2.5,365
Annual Average 2022,,411,6,Bayside and Little Neck (CD11),5.4,5.8,5.6,PM 2.5,365
Annual Average 2022,,412,6,Jamaica and Hollis (CD12),5.3,6.1,5.6,PM 2.5,365
Annual Average 2022,,413,6,Queens Village (CD13),5.2,5.7,5.4,PM 2.5,365
Annual Average 2022,,414,6,Rockaway and Broad Channel (CD14),4.9,5.2,5,PM 2.5,365
Annual Average 2022,,501,6,St. George and Stapleton (CD1),5.3,5.6,5.4,PM 2.5,365
Annual Average 2022,,502,6,South Beach and Willowbrook (CD2),5.1,5.3,5.2,PM 2.5,365
Annual Average 2022,,503,6,Tottenville and Great Kills (CD3),4.9,5.1,5,PM 2.5,365
Annual Average 2022,,101,4,Kingsbridge - Riverdale,5.9,6.3,6,PM 2.5,365
Annual Average 2022,,102,4,Northeast Bronx,5.9,6.2,6,PM 2.5,365
Annual Average 2022,,103,4,Fordham - Bronx Pk,6,6.3,6.1,PM 2.5,365
Annual Average 2022,,104,4,Pelham - Throgs Neck,5.7,6.5,6.1,PM 2.5,365
Annual Average 2022,,105,4,Crotona -Tremont,6,6.5,6.2,PM 2.5,365
Annual Average 2022,,106,4,High Bridge - Morrisania,5.8,6.3,6.1,PM 2.5,365
Annual Average 2022,,107,4,Hunts Point - Mott Haven,5.5,6.7,6.2,PM 2.5,365
Annual Average 2022,,201,4,Greenpoint,6.2,6.8,6.5,PM 2.5,365
Annual Average 2022,,202,4,Downtown - Heights - Slope,6,6.8,6.4,PM 2.5,365
Annual Average 2022,,203,4,Bedford Stuyvesant - Crown Heights,5.6,6.3,5.9,PM 2.5,365
Annual Average 2022,,204,4,East New York,5.5,6,5.7,PM 2.5,365
Annual Average 2022,,205,4,Sunset Park,5.5,6.8,6.2,PM 2.5,365
Annual Average 2022,,206,4,Borough Park,5.5,5.8,5.7,PM 2.5,365
Annual Average 2022,,207,4,East Flatbush - Flatbush,5.4,5.9,5.6,PM 2.5,365
Annual Average 2022,,208,4,Canarsie - Flatlands,5.1,5.8,5.4,PM 2.5,365
Annual Average 2022,,209,4,Bensonhurst - Bay Ridge,5.3,6,5.6,PM 2.5,365
Annual Average 2022,,210,4,Coney Island - Sheepshead Bay,5.2,5.6,5.4,PM 2.5,365
Annual Average 2022,,211,4,Williamsburg - Bushwick,5.9,6.9,6.4,PM 2.5,365
Annual Average 2022,,301,4,Washington Heights,6.1,6.5,6.3,PM 2.5,365
Annual Average 2022,,302,4,Central Harlem - Morningside Heights,6.1,6.4,6.2,PM 2.5,365
Annual Average 2022,,303,4,East Harlem,6,6.3,6.1,PM 2.5,365
Annual Average 2022,,304,4,Upper West Side,5.9,6.3,6.1,PM 2.5,365
Annual Average 2022,,305,4,Upper East Side,6.1,6.8,6.4,PM 2.5,365
Annual Average 2022,,306,4,Chelsea - Clinton,6.9,9.6,8.4,PM 2.5,365
Annual Average 2022,,307,4,Gramercy Park - Murray Hill,6.8,9.2,7.9,PM 2.5,365
Annual Average 2022,,308,4,Greenwich Village - SoHo,7.3,8.8,8,PM 2.5,365
Annual Average 2022,,309,4,Union Square - Lower East Side,6.1,9.2,7.5,PM 2.5,365
Annual Average 2022,,310,4,Lower Manhattan,6.6,7.6,7.1,PM 2.5,365
Annual Average 2022,,401,4,Long Island City - Astoria,6,6.7,6.4,PM 2.5,365
Annual Average 2022,,402,4,West Queens,5.8,6.7,6.2,PM 2.5,365
Annual Average 2022,,403,4,Flushing - Clearview,5.5,6.4,5.9,PM 2.5,365
Annual Average 2022,,404,4,Bayside - Little Neck,5.4,5.8,5.6,PM 2.5,365
Annual Average 2022,,405,4,Ridgewood - Forest Hills,5.4,6.1,5.8,PM 2.5,365
Annual Average 2022,,406,4,Fresh Meadows,5.4,5.6,5.5,PM 2.5,365
Annual Average 2022,,407,4,Southwest Queens,5.3,5.8,5.5,PM 2.5,365
Annual Average 2022,,408,4,Jamaica,5.3,6.1,5.6,PM 2.5,365
Annual Average 2022,,409,4,Southeast Queens,5.2,5.5,5.4,PM 2.5,365
Annual Average 2022,,410,4,Rockaways,4.9,5.2,5,PM 2.5,365
Annual Average 2022,,501,4,Port Richmond,5.3,5.7,5.5,PM 2.5,365
Annual Average 2022,,502,4,Stapleton - St. George,5.1,5.5,5.3,PM 2.5,365
Annual Average 2022,,503,4,Willowbrook,5.1,5.4,5.2,PM 2.5,365
Annual Average 2022,,504,4,South Beach - Tottenville,4.9,5.2,5,PM 2.5,365
Annual Average 2022,,101,3,Kingsbridge - Riverdale,5.9,6.3,6,PM 2.5,365
Annual Average 2022,,102,3,Northeast Bronx,5.9,6.2,6,PM 2.5,365
Annual Average 2022,,103,3,Fordham - Bronx Pk,6,6.3,6.1,PM 2.5,365
Annual Average 2022,,104,3,Pelham - Throgs Neck,5.7,6.5,6.1,PM 2.5,365
Annual Average 2022,,201,3,Greenpoint,6.2,6.8,6.5,PM 2.5,365
Annual Average 2022,,202,3,Downtown - Heights - Slope,6,6.8,6.4,PM 2.5,365
Annual Average 2022,,203,3,Bedford Stuyvesant - Crown Heights,5.6,6.3,5.9,PM 2.5,365
Annual Average 2022,,204,3,East New York,5.5,6,5.7,PM 2.5,365
Annual Average 2022,,205,3,Sunset Park,5.5,6.8,6.2,PM 2.5,365
Annual Average 2022,,206,3,Borough Park,5.5,5.8,5.7,PM 2.5,365
Annual Average 2022,,207,3,East Flatbush - Flatbush,5.4,5.9,5.6,PM 2.5,365
Annual Average 2022,,208,3,Canarsie - Flatlands,5.1,5.8,5.4,PM 2.5,365
Annual Average 2022,,209,3,Bensonhurst - Bay Ridge,5.3,6,5.6,PM 2.5,365
Annual Average 2022,,210,3,Coney Island - Sheepshead Bay,5.2,5.6,5.4,PM 2.5,365
Annual Average 2022,,211,3,Williamsburg - Bushwick,5.9,6.9,6.4,PM 2.5,365
Annual Average 2022,,301,3,Washington Heights,6.1,6.5,6.3,PM 2.5,365
Annual Average 2022,,302,3,Central Harlem - Morningside Heights,6.1,6.4,6.2,PM 2.5,365
Annual Average 2022,,303,3,East Harlem,6,6.3,6.1,PM 2.5,365
Annual Average 2022,,304,3,Upper West Side,5.9,6.3,6.1,PM 2.5,365
Annual Average 2022,,401,3,Long Island City - Astoria,6,6.7,6.4,PM 2.5,365
Annual Average 2022,,402,3,West Queens,5.8,6.7,6.2,PM 2.5,365
Annual Average 2022,,403,3,Flushing - Clearview,5.5,6.4,5.9,PM 2.5,365
Annual Average 2022,,405,3,Ridgewood - Forest Hills,5.4,6.1,5.8,PM 2.5,365
Annual Average 2022,,407,3,Southwest Queens,5.3,5.8,5.5,PM 2.5,365
Annual Average 2022,,408,3,Jamaica,5.3,6.1,5.6,PM 2.5,365
Annual Average 2022,,409,3,Southeast Queens,5.2,5.5,5.4,PM 2.5,365
Annual Average 2022,,410,3,Rockaways,4.9,5.2,5,PM 2.5,365
Annual Average 2022,,305307,3,Upper East Side-Gramercy,6.1,8.8,7.1,PM 2.5,365
Annual Average 2022,,306308,3,Chelsea-Village  ,7,9.5,8.3,PM 2.5,365
Annual Average 2022,,309310,3,Union Square-Lower Manhattan,6.2,8.9,7.3,PM 2.5,365
Annual Average 2022,,404406,3,Bayside Little Neck-Fresh Meadows,5.4,5.8,5.6,PM 2.5,365
Annual Average 2022,,501502,3,Northern SI,5.2,5.6,5.4,PM 2.5,365
Annual Average 2022,,503504,3,Southern SI,4.9,5.3,5.1,PM 2.5,365
Annual Average 2022,,105106107,3,South Bronx,5.8,6.6,6.2,PM 2.5,365
Annual Average 2022,,1,1,Bronx,5.8,6.4,6.1,PM 2.5,365
