TimePeriod,,GeoID,GeoRank,Geography,10th percentile ppb,90th percentile ppb,Mean,Indicator,IndicatorID
Annual Average 2022,,101,6,Financial District (CD1),19.3,22.4,21,NO2,375
Annual Average 2022,,102,6,Greenwich Village and Soho (CD2),19.2,21.1,20.2,NO2,375
Annual Average 2022,,103,6,Lower East Side and Chinatown (CD3),15.8,19.9,17.8,NO2,375
Annual Average 2022,,104,6,Clinton and Chelsea (CD4),18.6,24.4,21.4,NO2,375
Annual Average 2022,,105,6,Midtown (CD5),22.4,27.8,25.5,NO2,375
Annual Average 2022,,106,6,Stuyvesant Town and Turtle Bay (CD6),17.4,24.8,21.1,NO2,375
Annual Average 2022,,107,6,Upper West Side (CD7),17,19.5,18.2,NO2,375
Annual Average 2022,,108,6,Upper East Side (CD8),16.5,21.1,18.9,NO2,375
Annual Average 2022,,109,6,Morningside Heights and Hamilton Heights (CD9),16.4,17.4,16.8,NO2,375
Annual Average 2022,,110,6,Central Harlem (CD10),16.4,17.4,16.8,NO2,375
Annual Average 2022,,111,6,East Harlem (CD11),15.9,17.4,16.7,NO2,375
Annual Average 2022,,112,6,Washington Heights and Inwood (CD12),14.2,21.8,16.9,NO2,375
Annual Average 2022,,201,6,Mott Haven and Melrose (CD1),16.1,19.8,17.8,NO2,375
Annual Average 2022,,202,6,Hunts Point and Longwood (CD2),16.7,19.6,18.1,NO2,375
Annual Average 2022,,203,6,Morrisania and Crotona (CD3),16.2,17.9,16.9,NO2,375
Annual Average 2022,,204,6,Highbridge and Concourse (CD4),16.1,19,17.3,NO2,375
Annual Average 2022,,205,6,Fordham and University Heights (CD5),16,18.8,17.1,NO2,375
Annual Average 2022,,206,6,Belmont and East Tremont (CD6),14.9,18.1,16.6,NO2,375
Annual Average 2022,,207,6,Kingsbridge Heights and Bedford (CD7),15.1,16.5,15.8,NO2,375
Annual Average 2022,,208,6,Riverdale and Fieldston (CD8),13.3,16.1,14.5,NO2,375
Annual Average 2022,,209,6,Parkchester and Soundview (CD9),14.4,18,16.2,NO2,375
Annual Average 2022,,210,6,Throgs Neck and Co-op City (CD10),13.5,17.2,15.5,NO2,375
Annual Average 2022,,211,6,Morris Park and Bronxdale (CD11),14.8,16.7,15.4,NO2,375
Annual Average 2022,,212,6,Williamsbridge and Baychester (CD12),14.3,16.3,15.2,NO2,375
Annual Average 2022,,301,6,Greenpoint and Williamsburg (CD1),17.3,19.9,18.5,NO2,375
Annual Average 2022,,302,6,Fort Greene and Brooklyn Heights (CD2),16.9,20.5,18.5,NO2,375
Annual Average 2022,,303,6,Bedford Stuyvesant (CD3),15.4,18.5,16.6,NO2,375
Annual Average 2022,,304,6,Bushwick (CD4),15.3,19,16.6,NO2,375
Annual Average 2022,,305,6,East New York and Starrett City (CD5),13.4,17.3,15.4,NO2,375
